frame,id,speed,dist,state,event
254,36,0,154,NORMAL,NORMAL
255,36,11.661903789690601,161,NORMAL,NORMAL
256,36,9.848857801796104,154,NORMAL,NORMAL
261,36,14.317821063276353,124,NORMAL,NORMAL
262,36,11.0,119,NORMAL,NORMAL
264,39,0,0,NORMAL,NORMAL
294,55,7.211102550927978,22,NORMAL,NORMAL
295,55,5.0,27,NORMAL,NORMAL
326,55,2.8284271247461903,5,NORMAL,NORMAL
327,55,2.0,2,NORMAL,NORMAL
329,55,0.0,6,NORMAL,NORMAL
337,55,0.0,1,NORMAL,NORMAL
338,55,1.4142135623730951,1,NORMAL,NORMAL
348,55,0.0,5,NORMAL,NORMAL
449,91,0,7,CONGESTION,NORMAL
534,105,5.0,24,JAM,NORMAL
731,156,0,0,JAM,NORMAL
877,164,1.0,58,CONGESTION,NORMAL
878,164,1.0,55,CONGESTION,NORMAL
882,164,1.0,53,JAM,NORMAL
883,164,1.0,63,JAM,NORMAL
886,164,1.0,70,JAM,NORMAL
891,164,2.0,46,JAM,NORMAL
894,164,1.0,47,JAM,NORMAL
896,164,2.0,55,JAM,NORMAL
924,164,1.0,100,JAM,NORMAL
925,164,0.0,100,JAM,NORMAL
926,164,0.0,98,JAM,NORMAL
927,164,1.0,98,JAM,NORMAL
928,164,0.0,99,JAM,NORMAL
929,164,1.0,99,JAM,NORMAL
930,164,0.0,100,JAM,NORMAL
1137,348,7.0,3,JAM,NORMAL
1138,348,2.0,3,JAM,NORMAL
1139,348,2.0,3,JAM,NORMAL
1141,348,2.0,1,JAM,NORMAL
1182,369,0,2,JAM,NORMAL
1183,369,1.4142135623730951,1,JAM,NORMAL
1196,369,6.082762530298219,1,JAM,NORMAL
1197,369,1.4142135623730951,0,JAM,NORMAL
1198,369,0.0,0,JAM,NORMAL
1199,369,5.0,1,JAM,NORMAL
1200,369,1.4142135623730951,0,JAM,NORMAL
1221,370,1.0,1,JAM,NORMAL
1222,370,0.0,1,JAM,NORMAL
1254,370,1.0,51,JAM,NORMAL
1255,370,1.0,51,JAM,NORMAL
1256,370,0.0,49,JAM,NORMAL
1303,248,0.0,112,JAM,NORMAL
1305,248,0.0,110,JAM,NORMAL
